"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.748333333E-3,3.075393105E1,-3.988278198E1,-3.425968933E1,6.091113926E1
1.678833333E-2,3.081257057E1,-4.004397583E1,-3.438264465E1,6.111547070E1
2.682833334E-2,3.081565285E1,-3.996408081E1,-3.439569855E1,6.107205821E1
3.686733334E-2,3.086465645E1,-3.999346924E1,-3.432814789E1,6.107803481E1
4.690733333E-2,3.088771629E1,-3.998538208E1,-3.459040070E1,6.123216163E1
5.694733333E-2,3.089071083E1,-4.010937881E1,-3.431000519E1,6.115696805E1
6.698733333E-2,3.089071083E1,-4.010937881E1,-3.431000519E1,6.115696805E1
7.702633333E-2,3.104940605E1,-3.998697662E1,-3.436290741E1,6.118687213E1
8.706633333E-2,3.110492134E1,-4.012980652E1,-3.428973389E1,6.126747386E1
9.710633333E-2,3.086829948E1,-3.990879059E1,-3.448982239E1,6.111555717E1
1.071463333E-1,3.101613045E1,-4.010070038E1,-3.428201294E1,6.119904354E1
1.171853333E-1,3.094643593E1,-3.997879791E1,-3.432388306E1,6.110740648E1
1.272253333E-1,3.105339241E1,-4.009068298E1,-3.427178955E1,6.120565008E1
1.372653333E-1,3.099736595E1,-3.991205597E1,-3.454946899E1,6.121662123E1
1.473053333E-1,3.100077629E1,-4.010516739E1,-3.429142761E1,6.119946560E1
1.573443333E-1,3.086557961E1,-3.991627502E1,-3.434073639E1,6.103506527E1
1.673843333E-1,3.092830467E1,-4.004106903E1,-3.430023193E1,6.112571594E1
1.774243333E-1,3.099962044E1,-3.990764999E1,-3.452434540E1,6.120071422E1
1.874643333E-1,3.106711769E1,-3.991327667E1,-3.418450165E1,6.104765032E1
1.975033333E-1,3.100596809E1,-3.997220612E1,-3.438328552E1,6.116663831E1
2.075433333E-1,3.101856041E1,-4.001348877E1,-3.424089813E1,6.112012335E1
2.175833333E-1,3.087898064E1,-4.001696014E1,-3.432569122E1,6.109927677E1
2.276233333E-1,3.112771034E1,-4.008534241E1,-3.413440704E1,6.116311610E1
2.376623333E-1,3.111249352E1,-3.982469177E1,-3.438891602E1,6.112766045E1
2.477023333E-1,3.102009964E1,-3.999740601E1,-3.435416412E1,6.117391324E1
2.577423333E-1,3.114920807E1,-3.990419769E1,-3.449121857E1,6.125571251E1
2.677823333E-1,3.111297989E1,-4.021472549E1,-3.412116241E1,6.123312330E1
2.778213333E-1,3.107914734E1,-4.004468918E1,-3.416865540E1,6.113090497E1
2.878613333E-1,3.116046906E1,-3.992458725E1,-3.422415161E1,6.112479082E1
2.979013333E-1,3.116264343E1,-3.984687424E1,-3.444663239E1,6.120011613E1
3.079413333E-1,3.112315750E1,-3.986473846E1,-3.434511566E1,6.113456694E1
3.179803333E-1,3.116895676E1,-3.983999252E1,-3.438732147E1,6.116548657E1
3.280203333E-1,3.121474838E1,-3.994474792E1,-3.436956787E1,6.124712727E1
3.380603333E-1,3.139676285E1,-3.998375702E1,-3.431365967E1,6.133420565E1
3.481003333E-1,3.132142639E1,-4.000224686E1,-3.434561157E1,6.132562710E1
3.581393333E-1,3.138938522E1,-4.002622223E1,-3.466490173E1,6.155523847E1
3.681793333E-1,3.127669907E1,-4.014691925E1,-3.455219269E1,6.151309657E1
3.782193333E-1,3.132698822E1,-4.003490067E1,-3.454579926E1,6.146206723E1
3.882593333E-1,3.141177368E1,-3.991262054E1,-3.442630768E1,6.135867881E1
3.982983333E-1,3.138849640E1,-3.991524124E1,-3.443665314E1,6.135427670E1
