"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.220575000E-2,2.395907784E1,-3.784669876E1,-1.002897644E1,4.590196495E1
2.224575000E-2,2.397603035E1,-3.793031693E1,-1.010869598E1,4.599722500E1
3.228475000E-2,2.382659149E1,-3.791281509E1,-1.000123596E1,4.588150751E1
4.232375000E-2,2.401525879E1,-3.801293564E1,-9.821372986E0,4.602363847E1
5.236375000E-2,2.395826721E1,-3.804320145E1,-9.757865906E0,4.600543110E1
6.240274999E-2,2.414799881E1,-3.811811829E1,-9.906555176E0,4.619801536E1
7.244175000E-2,2.418025589E1,-3.801312637E1,-1.000144958E1,4.614879788E1
8.248175000E-2,2.423470306E1,-3.784212112E1,-9.820823669E0,4.599777757E1
9.252075000E-2,2.420321655E1,-3.780448914E1,-9.946746826E0,4.597730813E1
1.025597500E-1,2.451431274E1,-3.772806549E1,-9.719627380E0,4.603074637E1
1.125997500E-1,2.450883484E1,-3.767668533E1,-9.808990479E0,4.600469429E1
1.226387500E-1,2.477252197E1,-3.744033813E1,-9.533065796E0,4.589483749E1
1.326777500E-1,2.491374397E1,-3.752195358E1,-9.500274658E0,4.603093371E1
1.427177500E-1,2.509500313E1,-3.738591003E1,-9.433509827E0,4.600496233E1
1.527567500E-1,2.513398361E1,-3.739435577E1,-9.424118042E0,4.603117397E1
1.627957500E-1,2.555185127E1,-3.733274841E1,-9.276588440E0,4.618101667E1
1.728357500E-1,2.550654984E1,-3.737464142E1,-9.196403503E0,4.617382097E1
1.828747500E-1,2.566585732E1,-3.711176682E1,-9.023239136E0,4.601563117E1
1.929147500E-1,2.544586182E1,-3.714178467E1,-9.187370300E0,4.595010147E1
2.029537500E-1,2.586118126E1,-3.699311829E1,-8.961181641E0,4.601732579E1
2.129927500E-1,2.563460922E1,-3.712290955E1,-9.037071228E0,4.600991480E1
2.230327500E-1,2.576280212E1,-3.704385376E1,-9.143203735E0,4.603875812E1
2.330717500E-1,2.576832962E1,-3.715879822E1,-9.218666077E0,4.614939762E1
2.431107500E-1,2.583663177E1,-3.706894684E1,-9.312843323E0,4.613423254E1
2.531507500E-1,2.585425949E1,-3.712235260E1,-9.156127930E0,4.615567652E1
2.631897500E-1,2.583326340E1,-3.710940170E1,-9.210334778E0,4.614428956E1
2.732287500E-1,2.568385124E1,-3.729399109E1,-9.118698120E0,4.619147802E1
2.832687500E-1,2.578365135E1,-3.707481766E1,-9.293777466E0,4.610545609E1
2.933077500E-1,2.551582718E1,-3.719471741E1,-9.614158630E0,4.611872164E1
3.033467500E-1,2.549800301E1,-3.707785034E1,-9.571678162E0,4.600578405E1
3.133867500E-1,2.535132790E1,-3.727599716E1,-9.698699951E0,4.611132801E1
3.234257500E-1,2.521982002E1,-3.702625275E1,-9.918647766E0,4.588422701E1
3.334647500E-1,2.529812241E1,-3.715464020E1,-9.890609741E0,4.602484597E1
3.435047500E-1,2.527170181E1,-3.702618408E1,-1.022421265E1,4.597968839E1
3.535437500E-1,2.514234924E1,-3.712923050E1,-1.049913025E1,4.605376444E1
3.635827500E-1,2.519309044E1,-3.689861679E1,-1.039835358E1,4.587292757E1
3.736227500E-1,2.530139923E1,-3.708575058E1,-1.056493378E1,4.612083612E1
3.836617500E-1,2.534398079E1,-3.697837067E1,-1.086843872E1,4.612851851E1
